Item,Unit_Price,Date,Amount_Sold
Egg Kottu,800,2024-01-31,24.0
Chicken Kottu,900,2024-01-31,228.0
Sea food Kottu,1300,2024-01-31,5.0
Mix Kottu,1500,2024-01-31,9.0
Vegetable Kottu,700,2024-01-31,2.0
Dolphin Kottu,1000,2024-01-31,6.0
Cheese Chicken Kottu,1400,2024-01-31,3.0
Set Menu (Samba),700,2024-01-31,62.0
Chicken budget rice (Samba),500,2024-01-31,44.0
Egg rice (Basmathi),950,2024-01-31,40.0
Chicken mix rice(Basmathi),600,2024-01-31,12.0
Chicken mix rice (Samba),700,2024-01-31,34.0
Mix rice (Basmathi),1500,2024-01-31,35.0
Mix rice (Samba),1300,2024-01-31,30.0
Egg rice (Samba),600,2024-01-31,23.0
Vegetable Rice (Samba),500,2024-01-31,4.0
Nasi Goreng (Basmathi),1350,2024-01-31,7.0
Seafood Rice (Basmathi),1300,2024-01-31,3.0
Prawn Rice (Basmathi),1400,2024-01-31,7.0
Double mix rice (Basmathi),1450,2024-01-31,15.0
Sausage Rice (Basmathi),1200,2024-01-31,43.0
Chicken Biriyani (Basmathi),1300,2024-01-31,12.0
Egg Noodles,900,2024-01-31,8.0
Chicken Noodles,1100,2024-01-31,20.0
Mix noodles,1500,2024-01-31,7.0
Hot Dog,300,2024-01-31,12.0
Burger,400,2024-01-31,15.0
Watalappan,130,2024-01-31,59.0
Jelly youghurt,150,2024-01-31,21.0
Youghurt,80,2024-01-31,11.0
Milo,140,2024-01-31,43.0
Seven up,100,2024-01-31,38.0
Pepsi,100,2024-01-31,81.0
Egg Kottu,800,2024-01-30,20.0
Chicken Kottu,900,2024-01-30,250.0
Sea food Kottu,1300,2024-01-30,4.0
Mix Kottu,1500,2024-01-30,8.0
Vegetable Kottu,700,2024-01-30,2.0
Dolphin Kottu,1000,2024-01-30,5.0
Cheese Chicken Kottu,1400,2024-01-30,3.0
Set Menu (Samba),700,2024-01-30,62.0
Chicken budget rice (Samba),500,2024-01-30,47.0
Egg rice (Basmathi),950,2024-01-30,38.0
Chicken mix rice(Basmathi),600,2024-01-30,12.0
Chicken mix rice (Samba),700,2024-01-30,30.0
Mix rice (Basmathi),1500,2024-01-30,32.0
Mix rice (Samba),1300,2024-01-30,35.0
Egg rice (Samba),600,2024-01-30,31.0
Vegetable Rice (Samba),500,2024-01-30,5.0
Nasi Goreng (Basmathi),1350,2024-01-30,7.0
Seafood Rice (Basmathi),1300,2024-01-30,3.0
Prawn Rice (Basmathi),1400,2024-01-30,7.0
Double mix rice (Basmathi),1450,2024-01-30,16.0
Sausage Rice (Basmathi),1200,2024-01-30,40.0
Chicken Biriyani (Basmathi),1300,2024-01-30,13.0
Egg Noodles,900,2024-01-30,8.0
Chicken Noodles,1100,2024-01-30,21.0
Mix noodles,1500,2024-01-30,7.0
Hot Dog,300,2024-01-30,12.0
Burger,400,2024-01-30,19.0
Watalappan,130,2024-01-30,54.0
